央视_IPV6,#genre#
陕西卫视,https://cntv.sbs/tv/v6.php?id=sxws
甘肃卫视,https://cntv.sbs/tv/v6.php?id=gsws
吉林卫视,https://cntv.sbs/tv/v6.php?id=jlwsH265
云南卫视,https://cntv.sbs/tv/v6.php?id=ynws
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?fmmv6
厦门卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?fmmv6
青海卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000320/index.m3u8?fmmv6
新疆卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000316/index.m3u8?fmmv6
西藏卫视,https://cntv.sbs/tv/v6.php?id=xzwsH264_2000
兵团卫视,https://cntv.sbs/tv/v6.php?id=btws
康巴卫视,https://cntv.sbs/tv/v6.php?id=kbwsH264_2000
山东教育卫视,https://cntv.sbs/tv/v6.php?id=sdjy

教育频道,#genre#
中国教育1台,https://cntv.sbs/tv/v6.php?id=CETV-1H264
中国教育4台,https://cntv.sbs/tv/v6.php?id=CETV-4H264_2000

北京频道,#genre#
北京纪实,https://cntv.sbs/tv/v6.php?id=bjjs_2000
卡酷动画,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001245/index.m3u8?

上海频道,#genre#
上视新闻,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001014/index.m3u8?
上海都市,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001015/index.m3u8?
上海外语,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001128/index.m3u8?
上海纪实,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001019/index.m3u8?
生活时尚,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001199/index.m3u8?
七彩戏剧,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001308/index.m3u8?
第一财经,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001017/index.m3u8?
上海教育台,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001268/index.m3u8?
五星体育,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001018/index.m3u8?
东方影视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001016/index.m3u8?
东方财经,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001318/index.m3u8?
法治天地,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001195/index.m3u8?
乐游,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001200/index.m3u8?
都市剧场,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001203/index.m3u8?
金色学堂,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001194/index.m3u8?
新视觉,https://cntv.sbs/tv/v6.php?id=ycxsjH265
劲爆体育,https://cntv.sbs/tv/v6.php?id=lqhxjcHDH265
魅力足球,https://cntv.sbs/tv/v6.php?id=mlyy
哈哈炫动,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001232/index.m3u8?
游戏风云,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001192/index.m3u8?

浙江频道,#genre#
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

四川频道,#genre#
SCTV2,https://cntv.sbs/tv/v6.php?id=SCTV-2-H265
SCTV3,https://cntv.sbs/tv/v6.php?id=SCTV-3-H265
SCTV4,https://cntv.sbs/tv/v6.php?id=SCTV-4H265
SCTV5,https://cntv.sbs/tv/v6.php?id=SCTV-5-scysH265
SCTV7,https://cntv.sbs/tv/v6.php?id=SCTV-7-
SCTV8,https://cntv.sbs/tv/v6.php?id=SCTV-ggSCTV-8
SCTV9,https://cntv.sbs/tv/v6.php?id=SCTV-kjSCTV-9-
峨嵋电影,https://cntv.sbs/tv/v6.php?id=emdygqH265
CDTV1,https://cntv.sbs/tv/v6.php?id=CDTV-1
CDTV2,https://cntv.sbs/tv/v6.php?id=CDTV-2
CDTV3,https://cntv.sbs/tv/v6.php?id=CDTV-3
CDTV4,https://cntv.sbs/tv/v6.php?id=CDTV-4
CDTV5,https://cntv.sbs/tv/v6.php?id=CDTV-5

海南频道,#genre#
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?fmmv6
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?fmmv6
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?fmmv6
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?fmmv6

湖南频道,#genre#
金鹰纪实,https://cntv.sbs/tv/v6.php?id=jyjsHDH265
金鹰卡通,https://cntv.sbs/tv/v6.php?id=jykt_2000
快乐垂钓,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001235/index.m3u8?
先锋乒羽,https://cntv.sbs/tv/v6.php?id=xfpy

河南频道,#genre#
河南都市,https://pi.0472.org/tv/hn.php?id=141
河南电视剧,https://pi.0472.org/tv/hn.php?id=148
河南民生,https://pi.0472.org/tv/hn.php?id=146
河南法治,https://pi.0472.org/tv/hn.php?id=147
河南新闻,https://pi.0472.org/tv/hn.php?id=149
河南公共,https://pi.0472.org/tv/hn.php?id=151
河南乡村,https://pi.0472.org/tv/hn.php?id=152
河南国际,https://pi.0472.org/tv/hn.php?id=153
河南梨园,https://cntv.sbs/tv/v6.php?id=ly
武术世界,https://cntv.sbs/tv/v6.php?id=wssj

内蒙频道,#genre#
内蒙古新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800

山西频道,#genre#
山西经济,https://pi.0472.org/tv/sx.php?id=sxjj
山西影视,https://pi.0472.org/tv/sx.php?id=sxys
山西社会与法治,https://pi.0472.org/tv/sx.php?id=shfz
山西文体生活,https://pi.0472.org/tv/sx.php?id=wtsh
山西黄河,https://pi.0472.org/tv/sx.php?id=sxhh

贵州频道,#genre#
贵州公共,https://cntv.sbs/tv/gz.php?id=gzgg
贵州影视文艺,https://cntv.sbs/tv/gz.php?id=gzys
贵州大众生活,https://cntv.sbs/tv/gz.php?id=gzsh
贵州法制,https://cntv.sbs/tv/gz.php?id=gzfz
贵州科教健康,https://cntv.sbs/tv/gz.php?id=gzkj
贵州经济,https://cntv.sbs/tv/gz.php?id=gzjj
贵州移动电视,https://cntv.sbs/tv/gz.php?id=gzyd
家有购物,https://cntv.sbs/tv/gz.php?id=jygw

辽宁频道,#genre#
家庭理财,https://cntv.sbs/tv/v6.php?id=jtlc

江苏频道,#genre#
财富天下,https://cntv.sbs/tv/v6.php?id=cftx

NewTV系列,#genre#
NEWTV超级综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226009/1.m3u8
NEWTV超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NEWTV超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NEWTV超级电视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NEWTV武博世界,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw2554338791_49940138/ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8
NEWTV中国功夫,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1934355864_2070028581/ott.mobaibox.com/PLTV/3/224/3221227530/index.m3u8
NEWTV军旅剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1807611386_-262631246/ott.mobaibox.com/PLTV/3/224/3221227603/index.m3u8
NEWTV炫舞未来,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/wh7f454c46tw2582593423_1721070986/ott.mobaibox.com/PLTV/3/224/3221227475/index.m3u8
NEWTV潮妈辣婆,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1705588260_46164741/ott.mobaibox.com/PLTV/3/224/3221227527/index.m3u8
NEWTV精品体育,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw2797725038_-2054878207/ott.mobaibox.com/PLTV/3/224/3221227615/index.m3u8
NEWTV精品纪录,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw2837435881_530071425/ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8
NEWTV家庭剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw3441504651_1879058580/ott.mobaibox.com/PLTV/3/224/3221227600/index.m3u8
NEWTV精品大剧,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw2817459161_-1430429466/ott.mobaibox.com/PLTV/3/224/3221227618/index.m3u8
NEWTV军事评论,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw3373254713_-1111569189/ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8
NEWTV明星大片,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw2856695654_946966165/ott.mobaibox.com/PLTV/3/224/3221227594/index.m3u8
NEWTV东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NEWTV欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8

超清频道,#genre#
CCTV4K,https://cntv.sbs/tv/v6.php?id=ys4Kcq_2000
CCTV16,https://cntv.sbs/tv/v6.php?id=CCTV-16-4K_8000
欢笑剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
纯享4K,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
苏州-4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4K超高清电影,https://cntv.sbs/tv/v6.php?id=emdy4k_8000
